reg;naimko;regko;golofic;filial;dopof;vsego
Курская область;АО «Экспобанк»;2998;;1;11;12
Курская область;ПАО «Промсвязьбанк»;3251;;;1;1
Курская область;АО «Россельхозбанк»;3349;;1;29;30
Липецкая область;АО «БКС Банк»;101;;;1;1
Липецкая область;ООО «ХКФ Банк»;316;;;1;1
Липецкая область;Банк ГПБ (АО);354;;;2;2
Липецкая область;ПАО КБ «УБРиР»;429;;;2;2
Липецкая область;АО «Почта Банк»;650;;;4;4
Липецкая область;ПАО «Совкомбанк»;963;;;1;1
Липецкая область;Банк ВТБ (ПАО);1000;;;8;8
Липецкая область;АО «РЕАЛИСТ БАНК»;1067;;;1;1
Липецкая область;ООО «ФФИН Банк»;1143;;;1;1
Липецкая область;АО Банк «ТКПБ»;1312;;;1;1
Липецкая область;АО «АЛЬФА-БАНК»;1326;;;11;11
Липецкая область;ПАО Сбербанк;1481;;1;148;149
Липецкая область;АО МОСОБЛБАНК;1751;;;1;1
Липецкая область;АКБ «ФОРА-БАНК» (АО);1885;;;1;1
Липецкая область;АО АКБ «Алеф-Банк»;2119;;;1;1
Липецкая область;ПАО Банк «ФК Открытие»;2209;;;2;2
Липецкая область;ПАО РОСБАНК;2272;;;5;5
Липецкая область;ПАО «БАНК УРАЛСИБ»;2275;;;1;1
Липецкая область;АО «Банк Русский Стандарт»;2289;;;1;1
Липецкая область;ПАО АКБ «Металлинвестбанк»;2440;;;1;1
Липецкая область;АО «ОТП Банк»;2766;;;1;1
Липецкая область;АО «Банк ФИНАМ»;2799;;;1;1
Липецкая область;АКБ «Трансстройбанк» (АО);2807;;;1;1
Липецкая область;ПАО АКБ «АВАНГАРД»;2879;;;1;1
Липецкая область;ПАО «Промсвязьбанк»;3251;;;2;2
Липецкая область;ПАО Банк ЗЕНИТ;3255;;;10;10
Липецкая область;Банк «ВБРР» (АО);3287;;;1;1
Липецкая область;АО «Райффайзенбанк»;3292;;;1;1
Липецкая область;АО «Россельхозбанк»;3349;;1;10;11
Липецкая область;КБ «Ренессанс Кредит» (ООО);3354;;;1;1
Липецкая область;АО КБ «ЮНИСТРИМ»;3467;;;1;1
Московская область;АО ЮниКредит Банк;1;;;4;4
Московская область;АО АКБ «ЦентроКредит»;121;;;1;1
Московская область;Прио-Внешторгбанк (ПАО);212;;;5;5
Московская область;ООО «ХКФ Банк»;316;;;16;16
Московская область;АО «АБ „РОССИЯ“;328;;;3;3
Московская область;Банк ГПБ (АО);354;;1;21;22
Московская область;ПАО «Витабанк»;356;1;;;1
Московская область;ПАО КБ «УБРиР»;429;;;1;1
Московская область;ООО «Камкомбанк»;438;;;1;1
Московская область;АО КБ «Солидарность»;554;;;2;2
Московская область;Банк ИПБ (АО);600;;;1;1
